chunk,model1_label,model1_score,model2_label,model2_score,model3_label,model3_score
"The ‘noise’ scenario is the most open ended, and individuals may conclude it was a burglar and consequently acted consistent with this (fighting, fleeing, or calling the police); or they may have regarded the noise as something harmless, created by the wind or a stray cat (hopefully one that is not dead). Of course, other verisimilar options exist, but for the sake of the argument they are not relevant. In any case, the player was implicitly directed by the situational affordances to resolve the mystery aspect of the premise, embellish it, and act. However, it seems unlikely that any participant went against this implicit demand. The premise was not “You live in a world where anything is possible, and right now you are hearing a noise in the basement…”. If so, someone might have justly responded “I sprinkle fairy-dust on myself and fly to Never-Never land and spend the evening drinking Pan Galactic Gargle Blasters with Sherlock Holmes and Cleopatra”. No, the implicit instruction (and stated affordances) were to resolve the noise. Agency, then, was highly constrained. This is also true with the dyadic instructions, which were both based around a server-and-diner in a fancy restaurant or a fast food restaurant. The implicit demands were to imagine specific kinds of food, and mannerisms. It seems unlikely any dyad play-acted something like the scene from Pulp Fiction where a diner decides to rob a restaurant, even though such an action is well within the realm of possibility. Again, agency is constrained by task demands and existing schemas. Pretensive shared reality is constrained by situational Though it is unclear what affordances exist when pretending to be a dead cat. We suppose one might engage in the process of dying, or twitch, or take on a static and disfigured pose… but these are beyond the specific affordances of the premise (as would pretending to be the ghost of a cat, or some kind of undead cat). affordances by design, but in the case of TTRPGs, their defining feature is their open endedness (in such games, flying to a new location, or robbing the restaurant, while possibly surprising, would be wholly acceptable).",Human,0.9829,Human,0.9997,Human,0.9997
"Nichols and Stich (2000) imply that agency is important by indicating that individuals may creatively embellish a situation, and act consistent with the premises and all subsequent information, but do not go so far as to state that such decisions require agency. And yet, it is clearly the case that agency is a requirement, and that any examination of adult pretence or imaginative play without this consideration is examining only an impoverished subset of the phenomenon. Beyond addressing the absence of agency within a useful theoretical framework, there are other reasons to consider it more closely. Nguyen (2020) argues that, just as paintings are a medium of vision, music is a medium of sound, and stories are a medium of narratives, that games are a medium of agency. The ways in which we pleasure from forms of agency not available to us in the real world. While other modalities of experience - such as reading or watching a movie - can transport us, can influence our cognitions, our affect, and our sense of the world (Brown, 2015; Green et al., 2004), so too can games. The key distinction is that pretensive shared reality requires behavior on the part of the players (even if that behavior is as simple as decision making and speech acts). Engaging with a pretensive shared reality allows individuals to collaboratively co-construct a place for agencies to take place, where these agencies can take on forms from the trivial to the profound. As stated, there is no a priori reason to limit oneself to ordering food in a fantastical restaurant (even impossible foods); one may do anything, games, may produce novel cognitive content, and affective or agentic experiences which may be valuable to the players as individuals or as a group (or both). The opportunity for deeper involvement in the medium - via agency - is principally greater than in more passive artforms that do not require behavioral engagement. role-playing (but certainly not limited to it) - is generally an attempt to provide many degrees of agentic freedom, and that that agency is relatively unique to such games (but again, not entirely limited to it), we may consider the anthropological work of Van Gennep (1909) and Victor Turner (Turner et al., 2017) and a discussion of communitas and anti-structure in the context of transformative rituals. While we are not suggesting that TTRPGs are akin to rites-of-passage, some similarities exist.",Human,0.9796,Human,0.9996,Human,0.9996
"Communitas and anti-structure may be regarded as a phenomenon in which members of a community temporarily suspend ordinary regard for social structures, conventions, and existing status hierarchies (anti-structure) and enter into a new social context in which all individuals are equal, with the express purpose of being able to participate in, and share, a specific common experience (communitas) by ‘separating’ (p. 94) from their ‘states’ (ordinary social roles and schemas). In the context of TTRPG this may be seen when adults play the role of children, assume alternative genders, eschew their real-world credentials (e.g., lawyers, professors, doctors), and ignore (or even reverse) real-world status-hierarchies (e.g., employee and employer). The players then enter a ‘liminal’ space: the game-world (or rather, given that no full transition between states occurs, it should be regarded as a ‘liminoid’ space; Turner, 1974. In TTRPG terms, the ‘characteristics’ of the players and associated player-characters are ‘ambiguous’, they exist in ‘a cultural realm that has few or none of the attributes of the past … state’ (p. 94), and liminal entities [players and player-characters] ‘are betwixt and between the positions assigned and arrayed by law, custom, convention, and ceremony’ (p. 95). The communitas generated in this process is one of: …homogeneity and comradeship… a “moment in and out of time” and in and out of secular social structure which reveals, however fleetingly, some recognition (in symbol if not always in language) of a generalized social bond that has ceased to be and has simultaneously yet to be fragmented into a multiplicity of structural ties (p. 95) egalitarianism, where they reduce themselves to alternative social-forms (their player-characters), and participate as equals in a common, shared experience. However, the analogy ought not be stretched too far.",Human,0.9953,Human,0.9997,Human,0.9997
"Turner (1974) and others argue that after this liminal phase, individuals are ‘aggregated’ into new roles (i.e., a boy becomes a man, a girl becomes a woman, a neophyte becomes an acolyte) and they return to the ‘real’ world in a new state. This is obviously not true in the case of role-playing games - such hobbies fall short in many dimensions of the richness of rituals - but this doesn’t mean that the experiential quality of eschewing social roles to engage in pretensive agency in an equitable manner with like-minded others cannot be regarded as a meaningful, and even symbolically potent, experience . Importantly, unlike rituals, one may construct their liminal personae (p. 95) (rather than have it assigned by doctrine or belief) in order to express agency and co-construct the pretensive shared reality. This experience, of seperation and liminality, of anti-structure and communitas - despite falling short of full aggregation/transformation - facilitates what we are referring to as social utility: [the] generation of personal and group-level enjoyment or mirth, the creation or maintenance of social groups, or the safe exploration of individual self concepts (such as alternative expression of a players sexual identity). Thus, our response to the question why do adult pretenders pretend at all? is simply that adults are motivated to engage in imaginative play as it facilitates social utility, which includes the expression of alternative agency - agency which is necessary for a pretensive shared reality to be co-constructed and maintained, agency which is unavailable in other domains of real life, and agency which may be explored or exercised without regard to real-world social norms and structures. However, the question of ‘why adult pretense’ has at least two levels of analysis. The above-provided answer relates to the proximal interpretation, while the ultimate interpretation remains unaddressed. The ultimate level of analysis forces us to ask why adult pretense exists at all (Bateson & Laland, 2013; Tinbergen, 2010). Let us first consider what childhood pretend play is, then to examine why childhood pretend play is thought to exist, before coming to a conclusion on why adult pretence exists at all (and is not simply left behind, as Piaget suggests). Section 1.4.",Human,0.5341,Human,0.9997,Human,0.9997
"Childhood pretend play Childhood pretend play is seen in typically developing children across cultures and contexts (Haight et al., 1999; Lillard et al., 2010). While definitions vary, pretend play is most often characterized by nonliteral actions produced for non-instrumental purposes such as enjoyment and exploration (Weisberg, 2015). No single behavior is indicative of pretend play, rather, any one of a suite of behaviors are typically characterized as pretense. These include object substitution (e.g. using a pencil as a rocket ship), attribution of properties (e.g. pretending a doll’s face is dirty, and cleaning it), role play (e.g. running around as a superhero) and pretense metacommunication (e.g. discussing the rules and setting up an imaginary dentist’s office; Thompson & Goldstein, 2019). Thus, pretend play can involve both social and nonsocial representational content (Sachet & Mottweiler, 2013). Pretend play is active and embodied most of the time (and is mostly measured through physical action), although it does not have to be (and can occur only in a child’s mind), however, active physical embodied is most common. The earliest instances of pretend play is quite simplistic (occurring in children as young as 12 -18 months). Typically it is a free-form solo activity without shared intentionality, and does not contain normative rules or fantastical elements. As children move through the preschool years into early elementary school, pretend play moves from ad hoc counterfactual social scenarios (that typically do not endure across multiple times or contexts) to durable preplanned counterfactual worlds, explicitly incorporating normative rules, social intentionality, and collective negotiation (Fein, 1981). Engagement in pretend play also varies widely in how grounded it is to reality and everyday actions. While pretend play is often held up as an exemplar of children’s wild imaginations, and their For a lengthier discussion about the explicit and implicit power structures within the context of D&D rules, see: Garcia (2017) abilities to take ordinary and everyday experiences and turn them into fantastical events, evidence suggests an alternative view: that young children’s pretend play is primarily grounded in reality, and serves the purpose of helping children anticipate unknown future real events (Fein, 1981; Harris, 2021).",Human,0.998,Human,0.9995,Human,0.9995
"From drawing development to metaphorical reasoning, younger children (aged 3-5 years) are more likely than older children (8 years and up) to be grounded in reality and unable or unwilling to create fantastic alternatives to real worlds they know about. Young children (aged 2 and 3 years) often go so far as to reject nonrealistic pretend play (Vondervoort et al., 2017), and children up to age 6 will often prefer realistic endings to stories compared to fantastical endings (Barnes et al., 2015; Weisberg et al., 2013). It is only later in development, with exposure to fantastical media and cultural stories involving elements of far fantasy (Goldstein & Alperson, 2020) that relatively older children begin contemplating the unreal. Orientation to pretend play and fantasy is often conceptualized, operationalized, and measured as an individual difference in childhood (Bunce & Woolley, 2021) rather than being conceptualized and measured as a global, developmental trait. In preschool, a greater propensity towards play involving non realistic elements is associated with stronger emotional regulation skills, over and above age or language skills (Gilpin et al., 2015) and affective empathy over and above cognitive theory of mind (Brown et al., 2017). Children who engage in more fantasy play, via imaginary companions or nonrealistic role play, show higher levels of theory of mind (Taylor & Carlson, 1997) and fantasy play interventions seem to increase executive functions over non-imaginative play and other control conditions, with children showing the highest levels of fantastical play also show the highest gains in executive function (Thibodeau et al., 2016). The data, however, are limited primarily to preschool aged children, and assumes that pretense, pretend play and fantasy orientation drops off between the ages of 6 or 8 years (Smith & Lillard, 2012); the empirical literature has not meaningfully considered how older children and adults engage with fantastical, embodied pretense and imaginative play (Meyer, 2016). Early developmental theory (Piaget, 2013; Vygotsky, 1967) conceived of pretend play as not necessarily serving a direct function itself, but rather as indirectly facilitating practice among children for important socio-cognitive functions in the real world. That is, play in fictive context x benefits action in real context y.",Human,0.8682,Human,0.9997,Human,0.9997
"At the individual level, these functions include physical and emotional control (Lillard, 2017; White et al, 2021), counterfactual thinking (Gopnik & Walker, 2013; Buchsbaum et al, 2012), creativity (Hoffman & Russ, 2012), and factual and conceptual learning (Weisberg, 2015; Zosh et al 2018). Pretend play also allows children to rehearse engagement with cultural institutions such as behavioral and object-directed norms (Nielsen, 2012), and formal institutions, including religion (Renfrew et al., 2017), which may be built upon evolutionarily derived selection pressures for survival (Steen & Owens, 2001), successful acquisition of artifact affordances (Nielsen et al., 2012), all via forms of natural pedagogy (Csibra & Gergely, 2011). Consider the perennial favourite game of pretense among Western children: cops and robbers. Here, children pretend to engage in behaviors that are consistent/inconsistent with cultural norms, to express physical and emotional aspects consistent with particular social schemas, engage in chase play, and to pretensively operate artifacts common to culture but beyond their immediate experience (e.g., such as weapons). While we are not claiming that pretend play creates those occupying undesirable social roles, such a familiar example neatly exemplifies that ways in which pretend play in fictive context x may inform real-world context y. Section 1.5. Pretensive shared reality as an extension of childhood pretend play So why might adult pretense exist in an ultimate sense? We suggest that adult pretense, specifically in the form of pretensive shared reality, is a spandrel of childhood pretend play. The evolutionary and biological definition of a spandrel is a feature or trait that did not arise for adaptive reasons, but which exists as a consequence of, or as a byproduct of, another feature of trait that is adaptive (Buss et al., 1998; Gould, 1997). Childhood play likely serves important and adaptive functions in childhood (Hirsh-Pasek & Golinkoff, 2006; Lillard, 2017), but is adult imaginative play adaptive? The strong response is ‘no, it is not adaptive at all’, while the weak response is ‘no, it is not adaptive in the same way as it is in childhood’. If the latter is true, then adult imaginative play has been exapted from childhood pretend play.",AI,0.563,Human,0.9997,Human,0.9997
"While it is beyond the scope of the present article to determine if adult imaginative play is adaptive (Gould, 1997), we are comfortable in asserting - in response to the question why does adult pretense exist al all - that childhood pretend play arose before adult imaginative play (Morley, 2017.; Nielsen, 2012), that adult imaginative play exists as a consequence of this adaptive developmental trait, incurs a cost (which is minimally a time-cost), and serves a different role in adult lives than in childhood. That said, while we softly reject the idea that adult imaginative play is fitness enhancing in adulthood as it is in childhood, we do accept that the many socio-cognitive functions adult imaginative play serves are similar to those of childhood. Section 1.6. Interim summary Thus far we have attempted to establish the following premises: Adults do, in fact, engage in imaginative play. However this is not apparent if we judge what adults do by the standards of children. Much as it is with children, adult imaginative play exists on a spectrum of being highly embellished with much pageantry, to being relatively spartan and minimalist. Adults engage in games; when adults assume fictional identities during festivals such as halloween, cosplaying well-known figures in popular media at conventions, or engaging in some forms of kink-play; it occurs during ‘Model UN’ events, Moot-court events, and historical re-enactments; imaginative play also includes ‘murder mystery’ parties, ‘escape rooms’, and fantasy sports leagues, and may even include idle conversation about what one would do in a zombie apocalypse. Pretensive shared reality co-opts many of the socio-cognitive mechanisms of childhood pretend play, and serves similar qualitative functions as pretend play. The key difference between pretend play and pretensive shared reality, however, is the greater reliance on shared intentionality and agentic expression which yields personal and social benefit under the umbrella term of ‘social utility’. During pretensive shared reality, the pretend world box is cooperatively co-constructed, and player-character behavior therein - while governed by a set of rules about what is legal - is exceptionally rich in opportunities for embellishment and elaboration, as well as consistent and appropriate behavior..",Human,0.9646,Human,0.9997,Human,0.9997
"During pretensive shared reality, each player cognitively quarantines belief-like states between themselves and their player-character, and while a certain degree of cognitive porousness exists between player and player-character, players operate with an understanding that game events are not ‘real’, but that game events can generate authentic cognitive, emotional and agentic experiences. The important feature of pretensive shared reality is certain permeability between the player and play, which is responsible for affective dimensions of the experience. If we accept these premises then several implications follow. First, if pretensive shared reality is the qualitative extension of pretend play in childhood - even if it does have more implicit, explicit, and normative rules - then we can consider pretend play as serving a much larger role in life-history, and possibly even human evolution. Particularly with regard to the role pretend play serves in childhood in terms of supporting and creating various kinds of institutions (including religion) - a point developed by others (Nielsen, 2012; Renfrew et al., 2017). A second, related, point is that it allows us to consider that, once children utilize shared intentionality within pretend play (Thompson & Goldstein, 2019), that the socio-cognitive functions of pretend play do not end when the child developmentally transitions to ‘rule based games’. Rather, that ‘social utility’ of pretend play increases in maturity and sophistication from childhood into adolescence and beyond, to match the social and cognitive demands of more mature life-stages. Through this lens, research on the development of childhood pretend play is not simply an aggregation of cognitive milestones towards adulthood, but as one end of a spectrum along which various socio-cultural aesthetic experiences exist. Childhood is a period of delayed growth in favour of the acquisition of important social information (Nowell, 2016), but it is not the case that learning how to navigate physical and social environments ends with puberty - the demands simply expand to include many other, new, concerns, such as identity formation, higher-order representation of cultural and institutional obligations, and the maintenance of different forms of social relationships. Such a framework better incorporates the finding that children tend to prefer reality-based pretence, while adults tend to prefer the fantastic. And third, if it is the case that pretensive shared reality is an extension of childhood pretend play, and serves many socio-cognitive functions, then it follows that pretensive shared reality is a central conceptual point along several axes of human culture, cognition, and behavior.",Human,0.9791,Human,0.9995,Human,0.9995
"As we will elaborate, the theoretical commonalities between exercises in shared reality may be represented as two-dimensional space in which two continuous features exist: physical embodiment and cognitive engagement. For example, watching the latest Marvel Universe blockbuster requires low physical embodiment (sitting in a theater), and requires only modest cognitive engagement . Playing in an ‘Escape Room’ generally requires more embodiment (physical manipulation of objects), and often quite substantial cognitive engagement (coordinated problem solving). Participating in improvisational or scripted theatre requires considerable embodiment (styles of dress and appropriate movement) and cognitive engagement (the invention or recall of lines, an understanding of motives not belonging to the self which are to be communicated in performative ways). While participation in religious rituals may require various degrees of embodiment and cognitive engagement (Whitehouse, 2004). These dimensions and their implications will be elaborated hereafter. role-playing games affords two empirical and research opportunities that are not presently addressed in the various areas of psychological enquiry, and second, as a promising experimental paradigm with affordances beyond many existing paradigms. Section 2.1. The Axes of Pretensive Shared Reality: Embodiment and Cognition We propose that most kinds of imaginative cultures exist in a nebulous space that can be characterized by two axes: embodiment (externally, behaviorally relevant and observable behaviors) and cognition (complexity of the mental tasks). While we freely concede that this is a simplistic reduction, it is the case that such models can be useful (even if they may lack nuance, then again, ‘fuck nuance’; Healy, 2017). We accept that multiple other dimensions exist, though we anticipate that if one were to conduct a kind of factor analysis on the features of imaginative cultures, these two factors would account for the majority of variance, and themselves be relatively orthogonal. Hereafter we will define our terms, but first let us revisit the work of Nichols & Stich (2000). Nichols & Stich (2000) argue that pretend play (in adults) requires the following four elements from the participants: establishing a premise, inferential elaboration, non-inferential elaboration (embellishment), and production of appropriate pretend behavior. It is clear that the first three points are cognitive, while the final point is behavioral. We are not attempting to belittle fandom of this genre/franchise. Certainly, fans may engage with some topics, themes, and the universe at large in a very elaborate and cognitively complex way.",Human,0.9895,Human,0.9997,Human,0.9997
"However, one is not required by the circumstances to do so. Also the social cognition needed to reconstruct even the main axes of social complexity of the fictive world is scaffolded by the narration. Moreover the social order is fixed, while in social games it is in the making. As is consistent with the developmental literature, pretend play in children is often difficult to define precisely, but is primarily determined through the actions of the child, in relationship to something imagined (e.g., hiding under the covers of the bed, because a boogeyman is in the wardrobe). This conception has precedent; our contribution is simply extending imaginative play to various other forms of imaginative culture, and in particular, pretensive shared reality. While our two axes conception is simplistic, we believe it is useful (as will be elaborated upon). We define ‘embodiment’, within the context of pretensive shared reality (and imaginative cultures generally) as the degree to which the pretensive shared reality (or imaginative culture) requires the participant to perform actions which are externally visible and behaviorally representative of, and consistent with, the pretensive fairly minimal embodiment, limited to speech acts and rolling dice. However, it is also quite common for players - when operating their player-character - to produce vocal affectations or accents, and even behavioral mannerisms or styles of dress that are representative of, and consistent with, their pretensive shared reality. Such actions are not required, but are usually encouraged, and are normatively permitted. This is in contrast to forms of imaginative culture which operate at either extreme of the embodied spectrum. At the low end there are imaginative cultures which do not require such behaviors: such as reading fiction, watching a movie, or listening to music. While at the high end there is religion and ritual practices, where behaviors are not simply required, but are prescriptive, defined in doctrine, and to which there is symbolic meaning associated with the actions (and often supernatural or moral considerations) (Kapitány, Kavanagh, et al., 2020; Nielsen et al., 2020; Whitehouse, 2004). We define ‘cognition’, in the same context, as the degree to which the experience requires cognitive engagement that is consistent with the object of shared intentionality (i.e., the pretensive reality of the group). Of course, no waking human activity is without active cognition, but some activities require ‘more’ than others (while requires active engagement (as opposed to passive engagement).",Human,0.9988,Human,0.9997,Human,0.9997
"While it is possible that such engagement is minimal (e.g., to merely indicate that one’s player-character is going to swing a sword or shoot an arrow), it is frequently more active, it is still agentic. Players must create back stories and life histories for their player-characters, to hold motives which must be acted upon consistently in the world, and - most importantly - to engage in acts of agency consistent with the world (Nguyen & Thi Nguyen, 2020). Again, this is in contrast to forms of imaginative culture which operate at either extreme of the cognitive spectrum. At the low/passive end there are imaginative cultures which do not require [as much] active agentic cognition: reading fiction, watching a movie, or listening to music only require attention, but does not require cognitions associated with agency, problem solving, theory of mind, emotion regulation, or others; though it is important to note that such experiences may frequently arouse active cognitive processes, and doing so may be personally valuable or pleasurable, it is not obligate). While at the high/active end there are certain religious forms and ritual practices, where cognitions are not simply required, but are prescriptive, defined in doctrine, and to which there is symbolic meaning associated with the actions (and often supernatural or moral considerations) (Kapitány, Kavanagh, et al., 2020; Nielsen et al., 2020; Whitehouse, 2004). Tabletop role-playing games are a specific and common example of imaginative play by adults. This topic is under examined by the psychological disciplines, and yet we believe that examining it directly can provide opportunities to answer questions surrounding cognitive engagement, the role of embodied- and social- cognitive skills, and understanding particular qualities of mind. Here we suggest several low-hanging research topics related Active denotates here a possibility or necessity to engage with a decisive change of or within the imaginative situation. to pretensive shared realities like those apparent in TTRPG, such as D&D. We propose the following five research questions. First, by examining how individuals and groups engage with pretensive shared realities in the context of pretensive realities require the explicit discussion of players’ reasoning, internal states, motivations, and desires. That is, the ‘belief box’ associated with their player-character must be apparent to all players, and consistent with the pretensive shared reality, so that other players can accept and engage with it further.",Human,0.9937,Human,0.9997,Human,0.9997
"In real life individuals games, players must make the internal states of their player-character explicit to justify their [player-character’s] actions. In most cases, the action of the player-character need not necessarily benefit the group, but it must at can be used to observe, examine, and question topics associated with theory of mind, social justifications, shared intentionality and mutual understanding, by way of the often-necessary feature of making the implicit explicit. Second, the contents of shared pretensive reality can be used to illuminate and explore social problem solving. In such games, players must navigate themselves and their player-characters through various kinds of conflicts and problems that must be addressed in social ways. While social psychology attempts to examine social more ‘naturalistic’ opportunity to examine how groups of individuals negotiate outcomes within the confines of a role-playing games present players with challenges that [may] have zero-sum outcomes, which are morally or technically challenging, and which relate to the welfare of self and others. Contrary to the pursuit of an empirically questions in less messy contexts than the real world, but more elaborate and freeform environments than those of and form holistic solutions from disparate perspectives and abilities. Third, the collaborative requirements of pretensive shared realities can illuminate how shared realities are constructed, and to what degree certain counterfactuals and alternative agencies can be explored at the boundaries between player and player-character. Players may experiment with certain things that are safer, easier, and less consequential in a game-world than in the real-world. A simple example may be how a shy individual (player) may wish to exercise greater boldness or social competence, while a more multifaceted example would be for an individual to experiment with alternative gender or sexual identities. And while these may be trait-like qualities, certain alternative kinds of agency may also be explored: a law-abiding citizen may wish to exercise acts of violence, or a teetotaler may wish to play-act the conditions of addiction. While many counterfactuals may only contexts can reveal how some individuals negotiate complex personal and social agencies. While our third example was primarily focused on how individuals explore various agencies in real time, our forth examples relate to how groups form, maintain, or change norms and institutions. Shared realities can be engaged in specific tasks). This includes examples as diverse as sports teams with the shared goal of scoring more points than another team, but may also include moral communities relating to social, political, or religious ideologies.",Human,0.9997,Human,0.9966,Human,0.9966
