chunk,model1_label,model1_score,model2_label,model2_score,model3_label,model3_score
"In such cases, the expectations of one’s inner motivations must be reconciled and/or delineated from the ‘real’ world, and must be agreed upon to an extent that each member of the group “buys in” to the set of terms regarding what is acceptable or forbidden. This may be trivial, such as what body part may/may not touch a ball, or profound, such as whether or not violence is permissible as a means to an end. These shared realities only work when all members of the group follow the internal rules and boundaries. Consequently, breaking these can ruin the coherency of the group (leading to a dissolution of social or personal identities, or schisms within larger how individuals constitute groups in real time as a function of invented norms and institutions. meaning-making (by both individuals and groups). When individuals navigate a pretensive shared reality with a player-character that is distinct from their own identity, we can examine how they [the player] may understand their own behaviors and desires [in the real world] through the lens of their player-characters’ behavior and desires [in the game world]. An individual may never have considered, for example, whether or not they had a desire or role-playing games and other realities, individuals can construct identities and narratives that go beyond their everyday lived experiences, thus allowing for examination of choices that may not be available in the real world, and a construction of an understanding of one's own behavior that is not always apparent outside of a separated or quarantined “reality”. Our sixth and final suggestion utilizes Nguyen's conceptualisation of games as a medium of agency and portrays role-playing games as a possible laboratory for the study of agency itself, that is as a medium of participatory self-making. In the spirit of enactivistic models of cognition (Barandiaran, Di Paolo, & Rohde, 2009; De jaegher & Di Paolo, 2007; De Jaegher, Di Paolo, & Gallagher, 2010), role-playing games seem to be fitting examples of information ecologies strongly dependent on iterative scaffolding of perception-action loops - the meaning-making is participatory and its parties are strongly co-constructed in the process. The characters come alive through play, they seem to obtain at least partial autonomy from the agency of the players and as such form interesting phenomena for the psychology of self.",Human,0.9734,Human,0.9997,Human,0.9997
"While this is far from a comprehensive list of research opportunities, we hope that greater scholarly desired, occur naturalistically and organically, and capture a wide diversity of topics that interest behavioral scientists: all of which marks them out as an underutilized topic of inquiry. They also seem to be less costly than live-action role-playing games in terms of embodiment and commitment, D&D is very much comparable to board games, i.e. there is still quite visible distance between player and character which in LARPs diminishes when the While the discipline of ‘psychology’ is diverse, we believe that various sub-disciplines involving basic research on social and social-cognitive topics, may benefit from engaging with TTRPG-like methodologies that rely on pretensive shared reality. We must be clear, however, that we are not suggesting this is some kind of methodological magic bullet - far from it - but simply that there are some instances in which embracing the assumptions we’ve outlined may have greater claims to validity and generalizability. We have identified three broad conditions where methodological innovation may be possible if researchers utilize insights derived from our outline of pretensive shared reality. We will provide one example from the field of Moral Psychology which we think encapsulates our argument. Our first condition is pragmatic. There are many domains of study - particularly experimental study - where researchers cannot ethically or practically administer a manipulation. We suggest, in principle, that most studies that rely on vignettes can be improved by embracing greater complexity via pretensive shared reality. Our second condition relates to researchers acknowledging their own assumptions. Again, researchers that use vignettes or priming paragraphs are asking participants to semantically or affectively embrace a set of premises, then act in some responsive way. Creating more complex and immersive scenarios may produce more valuable focal outcomes. Our third condition relates to experimental demands. In many kinds of research participants may respond in socially desirable ways. By creating a clearer delineation between the participant and the scenario of interest, participants may be less likely to view the behavior as diagnostic of their own inner-states. Hereafter, we must offer some caveats: first, while we believe we have identified (as many others have before us) that there are various practical and pragmatic short-comings associated with the methods of experimental psychology, our suggested responses are speculative. Too little research has examined this domain for us to consider these as more than suggestions.",Human,0.9993,Human,0.9997,Human,0.9997
"And second, we must re-iterate that pretensive shared reality is not the same as unconstrained childhood pretend play. Our conception of pretensive shared reality as the co-operative co-construction of premises and conclusions performed by adults in imaginative and relatively unconstrained ways. As with most psychological constructs, it is a spectrum. There may be more or less co-construction, greater or fewer constraints, and richer or more impoverished imaginings involved. Again, this is not a methodological magic bullet, but a possible avenue of innovation that may yield results that are more valid or generalizable than existing methodologies. We foresee two general caveats of using role-playing games as projective research methodology: 1) the richer ecological validity inevitably leads to lesser control and 2) the social role-playing games are to some extent dependent on several social skills, which introduces its own biases. Moreover as role-playing is in some manner unconstrained complex creative activity, the participants could and would follow orthogonal individual heuristics for making sense of the situation and the role of their own agency within the play if they are not clearly instructed /conditioned by the experimental design. For example players could implicitly understand their playing agencies along different aspects of the collective action (cf. Edwards 2001; Torner 2018), e.g. as gaming (“we are supposed to compete”), or storytelling (“we are supposed to co-create and enact a story with a theme”) or simulation (“we should try to realistically portray the situation”). These heuristics bring their own possibly skewing influences on the individual and collective level for which the research design needs to counterbalance or use them for the purpose of the research. As our primary example let us consider an area that touches on multiple research interests of behavioral scientists, and which is widely known. Let us consider how experimental psychologists and philosophers examine moral decision making: an area that has multiple pragmatic and ethical concerns, where experimental demands are extensive, and where acknowledging researcher- and participant-centric assumptions are core. The classic trolley problem (Foot, 1967) is typically presented to participants as a vignette, because asking undergrads to literally kill people is neither ethical nor practical (condition 1).",Human,0.6848,Human,0.9995,Human,0.9995
"According to a relatively standardized protocol (Greene et al., 2008), participants are briefed about what to expect, which also includes disclaimers that aim to alleviate socially-desirable responding (condition 3): “Moral judgments can be difficult to make, and we understand that people sometimes change their minds about moral questions or feel conflicted about the answers they're given. Don't think of your answers as ""written in stone."" All we want from you is a thoughtful first response” (Greene et al., 2008). Participants are then presented with a options they must report as acceptable or not . Arguably, the most famous example of a moral dilemma is a variation on the ‘trolley (switch)’ problem, known as the ‘Footbridge’ problem (with or without reference to a ‘fat man’). (Thomson, 1985) originally described the problem in philosophical terms (rather than experimental): Consider a case … in which you are standing on a footbridge over the trolley track. You can see a trolley hurtling down the track, out of control. You turn around to see where the trolley is headed, and there are five workmen on the track where it exits from under the footbridge. [...] It just so happens that standing next to you on the footbridge is a fat man…. He is leaning over the railing, watching the trolley; all you have to do is to give him a little shove, and over the railing he will go, onto the track in the path of the trolley [and prevent the deaths of the five workers]. Would it be permissible for you to do this? We note that there are multiple and varied ways to do this, and not all scholars follow the same protocol. Before we consider whether there are assumptions here with regard to pretensive shared reality, let us first consider the paradigm in terms of Nichols and Stich. Is there a pretend world box (or, a set of premises)? Yes, in the first instance a ‘workspace’ is proposed by the researcher: it involves a footbridge, a large man, a trolley/train, and five workers. Does the participant have a meaningful belief box (or, a willingness to make inferences about the world).",Human,0.7488,Human,0.9997,Human,0.9997
"Yes, they simply must assume that the lives of these entirely fictional, nameless, identity-less individuals matter, that their deaths in some sense represent death as it is in the real world (Majdandžić et al., 2012) (participants are also told explicitly a rather unlikely additional premise exists: that one overweight man is sufficient to stop a rolling train, while a ‘little shove’ is enough to put him over the railing). Is there non-inferential elaboration - or embellishment - in the scenario? No, this is typically forbidden by the protocol. Participants cannot, for example, ask whether the large man has a family, whether the workers will notice the train at the last moment and save themselves, whether intercessory prayer is an option, or if this is a world in which it is customary to execute workmen by locomotive. That said, participants want to ask these questions, and there is emerging evidence that participants are embellishing the situation in imaginative ways, whether the researcher wants them to or not (Hauser et al., 2007). And so while there is no formal embellishment, many participants engage in these practices privately. Meanwhile, within the study of moral decision making, the debate rages as to whether such minimalist designs have external validity (Bauman et al., 2014). Finally, is there production of appropriate pretend behavior? Yes, in the sense the participant makes evaluation as a speech act or a mark on a page consistent with all that has preceded it (rather than, say, disengaging with the question and simply leaving the room). And so we see that the minimal conditions are, to greater or lesser degree, apparent to meet the definition of pretense advanced by Nichols and Stitch (2000). Perhaps more important in this discussion is the concept of cognitive quarantine. In the above example, a participant operates some kind of player-character of themselves. They must operate the player-character consistent with the assumptions of the pretend world (i.e., that the body of a large man may stop a train, and that the workers’ lives matter). The cognitive quarantine under such conditions is remarkably porous: not only do participants self-report an emotional experience, it is, expectedly, observable in parts of the brain associated with emotional engagement and processing (Greene et al., 2001). This, alone, is not remarkable.",Human,0.9973,Human,0.9994,Human,0.9994
"What is striking is that in instances where the situation is presented in virtual reality (VR), where there is some sort of merging between the participant and the player-character (Francis et al. 2016; Francis et al. 2017) , there is greater porousness (with regard to reported emotions and physiological arousal; Francis et al., 2016; McDonald et al., 2017) and that, on average, more participants perform the act of sacrificing the large man (Francis et al., 2016; K. B. Francis et al., 2017). Questions of external validity relative to vignette studies have long been raised (Bauman et al., 2014; Bostyn et al., 2018), however, we maintain that an awareness of the porousness of the cognitive quarantine can be exploited in order to generate new knowledge. And as such, this topic meets our second condition, that there may be unacknowledged assumptions inherent to the work. game-like methodologies may benefit empirical research. First, there are pragmatic and ethical and practical concerns. One cannot literally give a participant the power of life-and-death. Second, there are researcher-assumptions: What is the moral worth of a ‘fat man’ on a bridge, or of ‘five workers’? (This has long been known to researchers in this area). Third, there are experimental demands that influence focal outcomes. Again, this has long been known, but as evinced through VR methodologies, it is clear that creating richer experimental environments is valuable, and to the extent that VR offers insight, we argue that so too can The exact nature of this is unclear and hotly debated, as is the distinction between ‘moral decision making’, ‘moral action’, or ‘imaginative salience’. The specifics are less important than the broader point, however, that some kind of self-player-character merging is clearly occurring. TTRPG-like methodologies. Finally, it is clear that this area meets many of the classic conditions for pretence as described by Nichols and Stich: a) shared sets of premises, b) inference, c) elaboration, and d) pretense-consistent action (whether they are explicitly acknowledged or not). Thus, embracing the assumptions outlined here in terms of pretensive shared reality, and in particular cognitive quarantine, may make room for methodological innovation and advancement. Section 5.1.",Human,0.9889,Human,0.9997,Human,0.9997
"Examining imaginative cultures through the lens of Pretensive Shared Reality We now arrive at the most contentious aspect of our argument: that our understanding of pretensive shared realities not only illuminates play, games, and the obviously fantastical, but can also illuminate our understanding of social institutions with imaginative culture components, like religion. We need to be clear: we are not making the claim that religions are simply ‘made up’, ‘fantastical’, or the product of ‘pretense’. Our term ‘pretensive shared reality’ was defined in section 1.2, but can be summarized in the following way: Pretensive shared reality describes a space of mental objects of shared intentionality, that is durable, and which embodies a set of (implicit or explicit) premises, rules, or norms that knowingly differ from the ‘real world’ by some degree; pretensive shared reality permits and constrains the behavior of both players and their player-characters (consistent with the premises and/or norms of the imagined world). Meanwhile, we accept the definition of imaginative culture as shared and transmissible mental experiences that are aesthetically and emotionally modulated. Thus, pretensive shared reality is neither superordinate nor subordinate to this concept, but something that explains a subset of imaginative cultures. We argue that this definition makes room for religion, in the sense that the epistemic qualities of religious claims are shared, durable, and embody rules. We do not care to weigh in on whether religion describes reality, but need to maintain that such targets are shared by a community, are associated with various kinds of norms, require certain kinds of behaviors, and have an enduring quality. The final point is most important; any form of imaginative culture, from games to religion, requires a degree of sharedness; any individual human can engage with their own imagination and its products, though we would hardly talk about culture if it was without a dimension of sharedness and engagement. Further, we argue pretensive shared reality relies upon two axes: embodiment and cognition. Religion can be characterized along such dimensions (Kapitány, Kavanagh, et al., 2020; Nielsen et al., 2020; Whitehouse, 2004).",AI,0.9665,Human,0.9996,Human,0.9996
"Meanwhile, many researchers preceding us have argued that childhood pretend play is evolutionarily related to religion (Morley, 2017; Nielsen, 2012, and here we extend their arguments further than previously committed to text, by examining what - exactly - are the constitutive parts of pretensive shared reality. What is important in our claim is not whether religions are pretensive, but rather, whether our conception of pretensive shared reality can further illuminate the pursuits of the cognitive sciences of religion (CSR; Xygalatas, 2014), and whether examining religion can shed light on the study of the imaginative capacities of adults. We assert that there is a phenomenological “kinship” between pretensive shared reality and religion, and believe that insights from one can inform the other. Further, we suggest that experimental investigation into topics associated with religion (such as how beliefs are formed and maintained, particularly in unseen non-physical entities) can benefit from incorporating TTRP-like experiences. Before we defend these points, let us consider religion in the terms of psychology and the cognitive science of religion. Humans seem to be evolutionarily hardwired for social behavior and have a strong capacity for “shared reality” (Echterhoff et al., 2009). Yet it cannot simply be assumed that any random collection of humans will generate a shared reality. Such a thing would need to be established through communicative interaction and would be dependent on multiple factors (some of which we have discussed, some we have not). A shared reality must necessarily be largely based on the ability of individuals to exchange information, the acknowledgement of individual goals and values, and require both a capacity for individuals to form group goals, and a catalytic incentive or pressure for the interaction. The most relevant theoretical consideration between pretensive shared reality is the ways in which the sharedness is created, and the ways in which social identities are constructed. The definition of a ritual, according to (Hobson et al., 2018) is that rituals are (a) predefined sequences characterized by rigidity, formality, and repetition that are (b) embedded in a larger system of symbolism and meaning, but (c) contain elements that lack direct instrumental purpose (p. 261). Pretensive shared reality overlaps considerably: within a pretensive shared reality a) norms define what can/cannot be done, b) claims and behaviors are embedded within a larger system (i.e., the pretend world box), and c) behaviors are not instrumental [to the real world].",Human,0.8787,Human,0.9996,Human,0.9996
"While we are careful not to equate ‘rituals’ with ‘religion’, many scholars within the cognitive science of religion argue that rituals are what unites religious communities in a practical sense (Atran & Henrich, 2010; Hobson et al., 2018; Kapitány, Kavanagh, et al., 2020; Nielsen et al., 2020; Norenzayan et al., 2016; Renfrew et al., 2017; Rossano, 2012; behavior both require a strong institutional frame (that is, a set of agreed upon premises), which establishes a basis for shared intentionality and individual engagement with representational content therein, and both require is usually counter to physical ‘reality’ by various degrees, it becomes a pretensive reality when it is shared, and elicits agentic action. However, it is important that we examine in what ways ‘reality’ is conceived of as an object of shared intentionality for various groups. Luhrmann (2020) argues “that god or spirit— the invisible other— must be made real for people...”. If we accept that “the invisible other” (whether God, a deity, or some non-agentic force) can be equated to a player-character (or any other enduring aspects of a pretensive shared reality) we can use Luhrmann’s framework to further our argument. God(s) are not empirically or directly observable, nor are game worlds. Such objects require us to accept certain premises, engage in inference and elaboration, and act with consistent behavior. In this sense, the unreal becomes real through cognitive and embodied engagement; invisible others become real through experiential mechanisms (whether rituals, or imaginative, inferential and elaborative game play) and are made experientially real through the expression of agency in counter-factual realities, whether invented by our GM, or described by a religious authority. But a serious objection arises: It seems the case that the reality of the spiritual is differently real than the reality of everyday observable objects, like tables, and different from fictional entities, like Bishbosh the Goblin Shaman. Yet the core distinction between spiritual (and fictional) objects and profane objects is that the latter do not require “... any effort to experience them as real” (p. 5).",Human,0.9684,Human,0.9997,Human,0.9997
"Unlike tables, which we simply accept as real, the contents of a pretensive shared reality must be established, inferred, elaborated, and require action. Religions are not obviously real. While the debate continues as to whether children may be natural theists (Kelemen, 2004) or not (Banerjee & Bloom, 2013), what is obviously true is that even if naive individuals have theistic tendencies, it’s less than likely that such tendencies will produce a consensus of theistic doctrine, or consistency in ritual action (Kapitány, Kavanagh, et al., 2020). As such, the contents of religion must be established, inferred, and elaborated upon, much as the contents of a pretensive shared reality must also be. In each case we must construct legitimate beliefs (or belief-like states) for non-observable claims. As a result there is a similarity between the processes that establish and maintain [belief-like states for] Bishbosh the Goblin Shaman and spiritual figures, which - importantly through expression of agency and cognitive effort, as well as embodied (and often ritualistic actions) belief-like states and shared intentionality and created and maintained (Kapitány, Nelson, et al., 2020; Luhrmann, 2020). And due to the complexity of evaluating reality-status claims, adults tend to assign epistemic tags to their knowledge (Harris et al., 2006) which are categorized within various domains (Harris & Corriveau, 2021). This reference to the general human capacity of operating on different ontological levels and its intuitive connection with action brings us back to the concepts of mechanisms like cognitive quarantine. The status of non-obvious things needs to be socially constructed, recognized, and attributed to its proper epistemic level and domain. Thus, we arrive at a response to the concern that the motives for imaginative play and imaginative cultures are distinct from religious motivations: Pretensive shared realities generate social utility, a process that may include generating personal and group-level enjoyment or mirth, the creation or maintenance of social groups, or the safe exploration of individual self concepts. Social Utility, under the umbrella of pretensive shared reality and are cognitively quarantined. In religious practice, people usually strive to enmesh their religious practice to their daily life, or for the sake of the daily life, because it feels rewarding, creates and maintains social groups, and allows for the development of both social and self-identities.",Human,0.9992,Human,0.9994,Human,0.9994
"Religious practice, like pretensive shared realities, are constructed in a special domain with special behavior. The primary distinction in this active meaning-making is the degree to which the participants seek durability in the belief-like states, and the degree to which the belief boxes are cognitively quarantined (games are highly quarantined - Stenros, 2014 - while religion is not). If there is a significant overlap of social and cognitive mechanisms for shared reality between religious ritual and ritual as some authors propose (Atran & Henrich, 2010; Hobson et al., 2018; Kapitány, Kavanagh, et al., 2020; Nielsen et al., 2020; Norenzayan et al., 2016; Renfrew et al., 2017; Rossano, 2012; Whitehouse, 2004), it seems apparent that religion with its more-serious motivation is simply (and desirably) more porous. In both pretensive shared reality and religion, spaces for specific behavior exist, and a boundary for cognitive, affective, and agentic experience exist, and which broadly serve the same goal of social facilitation. And as established in the previous section, some domains of research may generate greater insights by experimentally applying TTRPG-like methodologies. Here, we suggest that conceptualizing religion as a non-special case of a shared reality (pretensive or otherwise) allows for important insights, methodological, historical, and psychological. And while many scholars within the field of cognitive science of religion are likely to accept these claims, drawing a direct line between childhood pretence, adult pretensive shared reality, and religion, may still be fruitful. Section 6.1. Limitations, Unexplored Opportunities, and Future Directions We have attempted to outline a relatively simple thesis. Contrary to the common wisdom, adults do engage in imaginative play (much like children) and it is remarkably common. This play can be encapsulated within role-playing games, like D&D. These are theoretically, practically, and epistemically interesting because they are popular, require very little training (for participants/players), have no functionally upper-limit on descriptive richness or opportunities for embellishment, and are exceptionally flexible. We have contextualized our arguments in relation to the seminal work of Piaget (1962), and Nichols and Stich (2000), who have (among others) shaped our understanding of these topics.",Human,0.9746,Human,0.9996,Human,0.9996
"We have (humbly) extended their work by elevating the importance of the social sharedness of this phenomenon, and described both the individual and evolutionary reasons why adult imaginative play is common, important, and interesting. We outline why the study of pretensive shared reality, specifically in methodological insights, and how this framework (conceptualized along the axes of embodiment and cognition) can allow for a reconceptualisation of existing work. However, we acknowledge many limitations. First, this manuscript is but a foundation for further work. It is neither complete, nor comprehensive, though we hope it is sufficiently broad and clear so as to direct further thought. We have focused on the relatively ‘dry’ topics of embodiment and cognition, while deliberately avoiding discussions associated with topics such as emotion expression and intensity. For example, how does cognitive quarantine and the porousness of belief create and/or interact with the generation and expression of emotion? Can TTRPG-like methodologies be used to study affect? In what way can affect be manipulated in order to influence decision making under conditions of pretensive shared reality? We have only briefly discussed questions associated with participant agency. To what extent does agency in a pretensive shared reality meaningfully correspond with a sense of agency in the real world? Emerging research suggests that game-like methodologies produce valid measures of personality, and overcome various issues associated with participant motivation and demand-responses (McCord et al., 2019), and we anticipate this to be true in other domains (though much validating work is required). We have not discussed in any depth important discussions in the psychological study of acting and aesthetics, particularly with regard to whether participants/players inhabit their player-characters authentically, or merely adopt the ‘mask’ of their player-character (Appel, 1982). We have given no time to the individual differences associated with role-playing or transportation. Fantasy Orientation (in childhood) is widely recognized to be an individual difference (Bunce & Woolley, 2021), and the same is true in analogous constructs in adulthood. How, then, are we to integrate such work into pretensive shared reality? Nor have we empirically dissected ‘sharedness’, and the degree to which individuals lead (or conform to) decision making in group contexts, or the degree to which a social identity may be constructed within a pretensive shared reality.",Human,0.709,Human,0.9996,Human,0.9996
"And finally, we have not discussed ‘reality’, and the degree to which pretensive shared realities meaningfully correspond with (or deviate from) the real world. Nor have we attempted to quantify degrees of pretense: are some kinds of deviation more or less accessible to participants, do different degrees of deviation impose greater- or lesser- cognitive load (and consequently influence the degree to which the pretensive reality is shared or the degree to which participants commit to it). We lament our inability to pursue these lines of enquiry and discussion, due both to time and word constraints, as well as the limits of our own expertise. However, we hope to have allowed sufficient room for future discussion. We invite contact and collaboration. We have, however, outlined some key ways we believe adoption of this framework can benefit an understudied and interesting topic in its own right. Second, applying TTRPG-like methodologies may yield additional insight. Third, although such methodology could be fully independent from its original sources (like D&D), it cannot be overlooked that still the strongest knowledge about the role-playing games’ causes and effects lies in the ethnographic evidence and theorizing of role-playing studies, i.e. any crafting of such methodology would greatly benefit from a collaboration with them. And fourth, taking the concepts herein, we may recast our understanding of various developmental and evolutionary topics: in particular childhood pretence. We hope our work has been sufficiently self-apparent and careful in defining terms, limiting the boundaries of what we can (and cannot) claim, and suitably (but not exceptionally) provocative. Though it is a trope to call for ‘further research’, we stand firm that this manuscript is the foundation for our own further research, and we hope others are persuaded by our argument. Section 6.2. Conclusions Adult imaginative play is common, sophisticated, and an interesting model for understanding a wide variety of topics of interest to behavioral scientists, including social topics (such as social identities, norm formation, and group problem solving), cognitive topics (such as theory of mind, metarepresentations, and pretence) and developmental topics (specifically the longitudinal and ontological development of pretence throughout the lifespan).",Human,0.9696,Human,0.9997,Human,0.9997
"Though long standing definitions of childhood pretend play have largely rendered adult role-playing games (and specifically D&D) as we believe they stand as a simple exemplar of many of the qualities most interesting within the domain of adult imaginative play, though we explicitly argue that they are but one example among many. We have not only outlined why this is a topic worthy of study, but how application of TTRPG-like methodologies may benefit behavioral scientists, when their work is pragmatically or ethically challenging, when participant demands are high, or when there may be hidden assumptions buried within standard methodologies. We have also (somewhat contentious) argued that further study on pretensive shared realities can shed light on cross-culturally interesting topics such as morality and religion. We make no claim that what is in this manuscript is entirely comprehensive and exhaustive, but we do hope it may serve as a foundation for future research, and we welcome critique or opportunities for collaboration.",Human,0.8699,Human,0.9966,Human,0.9966
